,content_ps,topic_ps,type_re,topic_re,title_re,content_re,label
66,"When board game cafÃ© Chance & Counters opened in 2016, creating the culture had been easy. The three founders were at the cafÃ© almost every day for the first two years, so they could see what was going on and make the changes needed. But, when it came to opening a cafÃ© in Cardiff in 2018, the team realised they needed to codify the culture before they could replicate it.",Leadership & Strategy,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
67,"When board game cafÃ© Chance & Counters opened in 2016, creating the culture had been easy. The three founders were at the cafÃ© almost every day for the first two years, so they could see what was going on and make the changes needed. But, when it came to opening a cafÃ© in Cardiff in 2018, the team realised they needed to codify the culture before they could replicate it.",Leadership & Strategy,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,0.0
68,"When board game cafÃ© Chance & Counters opened in 2016, creating the culture had been easy. The three founders were at the cafÃ© almost every day for the first two years, so they could see what was going on and make the changes needed. But, when it came to opening a cafÃ© in Cardiff in 2018, the team realised they needed to codify the culture before they could replicate it.",Leadership & Strategy,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
69,"When board game cafÃ© Chance & Counters opened in 2016, creating the culture had been easy. The three founders were at the cafÃ© almost every day for the first two years, so they could see what was going on and make the changes needed. But, when it came to opening a cafÃ© in Cardiff in 2018, the team realised they needed to codify the culture before they could replicate it.",Leadership & Strategy,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
70,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
71,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
72,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
73,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",1.0
74,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,1.0
75,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
76,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
77,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
78,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
79,"After almost 20 years in the industry, office design specialists Diamond Interiors recognised that their current office location was stifling their chances of growth. The business had landed a number of big contracts in the previous 24 months but had no room to expand into. How could they move forward without losing local customers?",Planning,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
80,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
81,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
82,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
83,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",1.0
84,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,1.0
85,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
86,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
87,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
88,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
89,"Skyrora is one of the first rocket companies to emerge from the UK. Their primary goal is to achieve orbital launch capabilities for its rockets in the next decade. Unsurprisingly, Skyrora needs a huge amount of research and development funding. With a small rocket taking five to seven years to develop, they need to keep justifying the merit of its long-term plans to investors.",Planning,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
90,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
91,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
92,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
93,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",1.0
94,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,1.0
95,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
96,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
97,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
98,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
99,"When Sri Lankan restaurant The Coconut Tree started looking at expansion, it found itself at the mercy of an expensive and competitive property market. After opening restaurants in Oxford and Cheltenham, the team had set their sights on a Bristol branch.  They spent a year applying for â€“ and losing â€“ potential locations. It was demoralising, so the team decided to bid on as many properties as possible. But when two of their bids succeeded, the team were torn between letting a viable property go or suddenly opening two new restaurants at the same time. Though it was a huge risk, they decided to go for it.",Sales & Growth,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
100,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
101,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
102,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",1.0
103,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",1.0
104,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,1.0
105,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
106,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
107,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
108,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
109,"When Quay St Diner opened, the menu was full of grilled California-style food that the co-founders Jon Finch and Ben Merrington loved to cook at home. They even had a metre-wide custom charcoal grill shipped in from California to make it authentic.  However, the customers ignored the fresh grilled food and opted for the token cheeseburger on the menu â€“ something the restaurant wasnâ€™t prepared to cook in large volumes. The founders had to decide whether to stick with the idea they loved or respond to customer demand.",Sales & Growth,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
110,"When London-based cafe restaurant Grind opened in 2011, the company set their sights on building a brand that people loved, rather than just another franchise. They wanted the coffee to be great, the attitude upbeat and for staff to enjoy working there. But as it expanded to new locations, Grind faced the challenge of keeping staff motivated and service consistent. The management team was small and they had relatively little central resource.",People & Team,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
111,"When London-based cafe restaurant Grind opened in 2011, the company set their sights on building a brand that people loved, rather than just another franchise. They wanted the coffee to be great, the attitude upbeat and for staff to enjoy working there. But as it expanded to new locations, Grind faced the challenge of keeping staff motivated and service consistent. The management team was small and they had relatively little central resource.",People & Team,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",1.0
112,"When London-based cafe restaurant Grind opened in 2011, the company set their sights on building a brand that people loved, rather than just another franchise. They wanted the coffee to be great, the attitude upbeat and for staff to enjoy working there. But as it expanded to new locations, Grind faced the challenge of keeping staff motivated and service consistent. The management team was small and they had relatively little central resource.",People & Team,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
